Sample Input

5

5

19 15

7 13

5 7

6 8

1 2

16

28 64

13 58

1 41

19 20

11 98

13 53

23 25

30 54

2 43

8 86

29 21

16 26

5 100

30 38

6 36

20 55

15

24 12

22 35

25 45

5 91

26 47

1 59

8 99

12 83

20 66

14 23

10 47

14 86

7 67

24 29

10 71

18

3 35

28 4

19 97

24 71

6 97

28 42

2 66

28 72

14 39

14 90

1 92

5 9

5 38

13 66

5 48

12 83

16 50

18 61

16

11 31

8 85

4 75

28 64

21 45

10 86

19 72

12 82

28 70

14 31

14 35

20 93

6 78

13 81

28 87

9 51

 

